88135,3629401,22
88131,1171655,30
88073,614558,58
88066,7521846,328
88063,30573,0
88056,282395,495
88049,210049,328
88047,204812,110
88046,3171,16
88045,456,866
88036,3760,0
88033,497,12
88027,1744440,0
88023,4408,83
87989,2084901,185
87986,5385,40
87971,11262220,82
87969,2571427,795
87964,611119,79
87962,6978931,5
87951,9793,235
87945,79175,58
87909,3151,32
87900,1137,125
87896,2627376,435
87886,655043,0
87875,918,260
87851,5979,522
87842,226217,108
87829,280,152
87826,598,23
87809,11982803,20
87770,1386809,83
87734,397858,97
87719,8038,152
87711,2002404,20
87708,160,0
87699,2528125,0
87690,10234023,162
87670,918319,184
87657,3373,235
87612,453,1128
87570,4569287,84
87569,188706,152
87564,179263,152
87528,468322,58
87514,2507,279
87506,67380,253
87505,4272076,8
87449,3003,14
87447,114197,235
87437,1812339,50
87423,153421,328
87384,1699,328
87378,56508,216
87372,20123,109
87357,95709,40
87342,25988416,20
87339,6344315,0
87330,27613618,0
87326,64502,316
87312,4768968,74
87304,273814,82
87298,2475132,451
87294,78552,56
87292,127474,8
87270,649314,12
87267,579744,0
87256,9318819,203
87235,1327329,5
87230,2324315,0
87214,416937,0
87208,4580757,15
87201,1091,10
87185,30812,0
87174,8185010,20
87160,18322,184
87154,6342635,152
87153,805126,31
87150,44859,82
87135,353569,8
87119,620509,23
87104,71574,0
87092,353467,355
87086,295450,59
87078,84689,59
87065,2063,5
87047,6444913,0
87036,26476,0
87025,87712,24
87019,240598,22
87001,142,531
86973,464699,22
86955,108,40
86934,2038066,610
86888,660658,139
86880,15371702,10
86866,6215231,971
86862,24052169,35
86855,2011630,0
86849,133432,159
86848,111,58
86843,4225131,170
86842,512900,11
86837,75909,2
86777,62885,177
86768,75067,0
86755,22446,217
86751,776,0
86736,7492,24
86719,177429,51
86702,109314,429
86685,7923,51
86680,41467,8
86671,24591,8
86662,34503,138
86632,116,0
86611,2197830,344
86592,1980462,94
86587,38558943,20
86559,26,74
86556,1265617,326
86553,11193,12
86544,46615,260
86519,175542,530
86515,14729138,0
86509,34945,253
86507,1301,108
86505,201704,0
86477,321,5
86434,29,1014
86431,497,0
86427,40157,50
86426,22139,24
86423,297068,235
86413,361639,66
86404,515673,5
86384,49024,276
86379,2345747,2
86374,858,66
86356,3252,6
86354,147034,765
86345,129204,1014
86327,1451,251
86326,1545,77
86316,54,0
86313,148926,141
86288,5976484,20
86287,566613,190
86284,171977,162
86279,448428,32
86274,2970,165
86273,1423600,178
86243,21285415,60
86238,185498,0
86231,17912375,0
86212,631,353
86188,1498364,92
86187,2343067,268
86171,3548438,424
86134,5260483,0
86132,423349,0
86124,157,97
86109,236490,56
86089,1115556,1204
86084,162,97
86075,647613,128
86065,1623,66
86046,3307863,10
86028,696372,80
86026,632137,450
86014,1740748,25
86011,42310,52
86010,2376675,560
85979,2711410,60
85973,67944,560
85959,2685886,329
85956,732170,0
85950,14312,31
85918,26689748,4
85876,81903,34
85861,198457,615
85856,30889,145
85852,1099717,50
85827,165817,102
85821,40073,0
85795,27595,84
85763,29125027,102
85761,483,335
85689,1153,139
85650,414,20
85641,17438420,12
85626,14319700,0
85608,30566,0
85605,17513734,168
85588,23535149,215
85526,30406396,10
85502,24491,949
85489,3007,135
85472,28740,156
85451,350,7
85412,3895708,16
85410,5925394,18
85405,300987,78
85392,46090,163
85383,12477373,0
85381,667442,712
85370,17705,279
85354,2034,20
85348,39381,236
85341,593998,134
85330,23098379,0
85303,1484478,568
85291,18058390,949
85242,6744994,1296
85229,722,362
85220,73885,438
85213,24902559,274
85191,3054439,77
85176,6855344,23
85155,205795,39
85116,51476,360
85111,100,82
85084,2493013,0
85030,2671218,562
85020,292,257
85019,753990,38
84985,635,19
84984,24956560,48
84976,1291514,23
84972,636204,0
84966,846,0
84950,1763213,487
84939,25,16
84935,2854319,349
84911,2130,108
84904,65459,108
84895,99,31
84880,94165,378
84842,412,562
84810,4400086,440
84808,79,208
84798,8086480,12
84794,916138,203
84785,2726574,23
84772,1306957,594
84763,2619221,133
84761,6744902,1296
84755,9,196
84751,8401028,0
84718,66941,82
84694,178,57
84693,10821687,161
84691,6689,76
84688,535585,453
84683,8,103
84679,265,8
84668,69488,135
84667,11310245,48
84656,153,92
84647,1932416,194
84639,5,24
84569,4120120,0
84562,8844346,674
84542,535845,728
84541,10,10
84515,188187,39
84479,294,213
84477,1137095,0
84471,205,608
84458,645188,0
84450,121134,501
84433,124980,181
84428,343,257
84425,79465,236
84422,7129722,161
84407,11291551,59
84402,3739190,21
84401,157,203
84392,2418011,196
84376,71311,24
84358,188205,78
84353,4786562,176
84330,2346,12
84329,6029016,379
84325,19137,501
84307,23879,72
84302,697,137
84268,17175894,40
84240,2,12
84205,32,10
84160,17,74
84158,103998,132
84145,96793,153
84129,5244,10
84094,388271,276
84087,13931099,726
84054,13217074,48
83988,4421,0
83976,174167,24
83908,281,24
83896,301,0
83891,604914,608
83839,4847095,317
83764,1265670,613
83755,2203563,0
83731,75902,215
83726,17084,31
83695,7212017,0
83682,531573,40
83668,298534,0
83656,197,135
83628,859811,34
83612,563925,538
83545,348,0
83514,1149739,43
83471,498563,222
83450,5460145,90
83448,1376152,2
83440,439367,23
83425,1336,68
83415,33525,28
83396,33933,84
83387,2994,301
83377,1254949,446
83370,4,0
83361,206626,23
83350,2160879,27
83341,84455,359
83339,81825,213
83328,605426,5
83302,291,25
83297,1004,140
83262,484910,20
83257,625915,20
83255,1,26
83244,176347,160
83211,97,10
83194,2735,0
83191,636389,51
83145,18197,269
83142,3517,236
83129,162,56
83105,61184,5
83102,4727,68
83035,36582,512
83006,446,92
82997,22772,0
82958,613317,84
82953,253448,39
82935,12,97
82909,79458,8
#####
